title,stemmed_text
Four Rooms,ted bellhop first night job hotel unusu guest place outrag predica seem even room servic serv one unbeliev happen anoth
Judgment Night,race box match frank mike john rey get bargain wrong turn land directli path fallon viciou wise crack drug lord accident wit fallon murder disloy henchman four becom unwil prey savag game cat mous mercilessli stalk urban jungl taut suspens drama
Life in Loops (A Megacities RMX),timo novotni label new project experiment music documentari film remix celebr film megac visual refin essay hidden face sever world megac lead austrian documentarist michael glawogg novotni complement materi taken straight film edit yet unseen footag blend origin shot unus glawogg sequenc shot megac cameraman wolfgang thaler tokyo alongsid japanes metropoli life loop take us right atmospher mexico citi new york moscow bombay electrifi combin fascin film imag equal compel soundtrack sofa surfer set us stun audiovisu adventur across contin film also make origin contribut discuss new trend documentari filmmak written karlovi vari iff
Star Wars,princess leia captur held hostag evil imperi forc effort take galact empir venturesom luke skywalk dash captain han solo team togeth loveabl robot duo c rescu beauti princess restor peac justic empir
Finding Nemo,nemo adventur young clownfish unexpectedli taken great barrier reef home dentist offic aquarium worrisom father marlin friendli forget fish dori bring nemo home meet vegetarian shark surfer dude turtl hypnot jellyfish hungri seagul along way
Forrest Gump,man low iq accomplish great thing life present signific histor event case far exceed anyon imagin could despit achiev one true love elud
American Beauty,lester burnham depress suburban father mid life crisi decid turn hectic life around develop infatu daughter attract friend
Citizen Kane,newspap magnat charl foster kane taken mother boy made ward rich industrialist result everi well mean tyrann self destruct move make rest life appear way reaction deepli wound event
Dancer in the Dark,selma czech immigr verg blind struggl make end meet son inherit genet disord suffer fate without expens oper life get difficult selma learn cope love music escap life troubl even moment dream littl number rhythmic beat surround
The Dark,ad le daughter sarah travel welsh coastlin see husband jame sarah disappear differ similar look girl appear say die past time ad le tri discov happen daughter torment celtic mytholog past
The Fifth Element,taxi driver unintent given task save young girl part key ensur surviv human
My Life Without Me,fatal ill mother two month live creat list thing want die without tell famili ill
